--------------  -----------------  ---------------------  -------------  --------------------
file            len_clique_greedy  time_greedy            len_clique_ls  time_ls
brock200_1      18                 0.6997756958007812     20             1.9201889038085938
brock200_2      9                  0.18372106552124023    9              0.4558563232421875
brock200_3      12                 0.2875640392303467     13             0.6633925437927246
brock200_4      15                 0.3688681125640869     15             0.8867003917694092
brock400_1      22                 4.044671058654785      23             7.840763807296753
brock400_2      21                 4.024540662765503      23             7.7626261711120605
brock400_3      22                 3.9771523475646973     23             7.945479154586792
brock400_4      22                 4.4339728355407715     23             8.187203884124756
C125.9          32                 0.6975967884063721     33             2.3510549068450928
gen200_p0.9_44  37                 2.593308210372925      38             6.956676483154297
gen200_p0.9_55  39                 2.295067548751831      41             6.79789662361145
hamming8-4      15                 0.4179813861846924     15             1.2351796627044678
johnson16-2-4   7                  0.1137535572052002     8              0.23050642013549805
johnson8-2-4    3                  0.0009198188781738281  4              0.006209850311279297
keller4         10                 0.20771479606628418    11             0.47380828857421875
MANN_a27        124                113.6093065738678      125            440.4117662906647
MANN_a9         15                 0.035735368728637695   16             0.10849571228027344
p_hat1000-1     8                  4.166104316711426      8              6.79602837562561
p_hat1000-2     43                 48.08283543586731      45             133.58523297309875
p_hat1500-1     9                  14.89989972114563      11             21.281070232391357
p_hat300-3      33                 3.5657145977020264     34             9.847520589828491
p_hat500-3      46                 19.07668972015381      48             51.28588819503784
san1000         9                  21.99498677253723      9              27.616873741149902
sanr200_0.9     39                 2.4739902019500732     40             7.5536909103393555
sanr400_0.7     18                 3.367987632751465      19             6.267055511474609
--------------  -----------------  ---------------------  -------------  --------------------
